ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
66,992-8501,山形県,ヤマガタケン,米沢市,ヨネザワシ,金池,カナイケ
67,992-0113,山形県,ヤマガタケン,米沢市,ヨネザワシ,長手,ナガテ
68,992-0092,山形県,ヤマガタケン,米沢市,ヨネザワシ,六郷町西江股,ロクゴウマチニシエマタ
69,999-7664,山形県,ヤマガタケン,鶴岡市,ツルオカシ,上中野目,カミナカノメ
70,997-0839,山形県,ヤマガタケン,鶴岡市,ツルオカシ,砂田町,スナダマチ
71,960-0261,福島県,フクシマケン,福島市,フクシマシ,飯坂町中野,イイザカマチナカノ
72,960-2195,福島県,フクシマケン,福島市,フクシマシ,庄野,ショウノ
73,960-8550,福島県,フクシマケン,福島市,フクシマシ,方木田,ホウキダ
74,965-0025,福島県,フクシマケン,会津若松市,アイヅワカマツシ,扇町,オオギマチ
75,969-3451,福島県,フクシマケン,会津若松市,アイヅワカマツシ,河東町八田,カワヒガシマチハッタ
76,965-0101,福島県,フクシマケン,会津若松市,アイヅワカマツシ,北会津町真宮,キタアイヅマチマミヤ
77,965-0016,福島県,フクシマケン,会津若松市,アイヅワカマツシ,中島町,ナカジママチ
78,963-0107,福島県,フクシマケン,郡山市,コオリヤマシ,安積,アサカ
79,963-0543,福島県,フクシマケン,郡山市,コオリヤマシ,喜久田町前田沢,キクタマチマエタザワ
80,963-0722,福島県,フクシマケン,郡山市,コオリヤマシ,田村町小川,タムラマチコガワ
81,311-1112,茨城県,イバラキケン,水戸市,ミトシ,川又町,カワマタチョウ
82,310-0851,茨城県,イバラキケン,水戸市,ミトシ,千波町,センバチョウ
83,310-0034,茨城県,イバラキケン,水戸市,ミトシ,緑町,ミドリチョウ
84,316-0031,茨城県,イバラキケン,日立市,ヒタチシ,成沢町,ナルサワチョウ
85,300-0013,茨城県,イバラキケン,土浦市,ツチウラシ,神立町,カンダツマチ
86,306-0044,茨城県,イバラキケン,古河市,コガシ,新久田,アラクダ
87,306-0125,茨城県,イバラキケン,古河市,コガシ,仁連,ニレイ
88,315-0111,茨城県,イバラキケン,石岡市,イシオカシ,瓦谷,カワラヤ
89,307-0017,茨城県,イバラキケン,結城市,ユウキシ,若宮,ワカミヤ
90,301-0047,茨城県,イバラキケン,龍ケ崎市,リュウガサキシ,南中島町,ミナミナカジママチ
91,321-0985,栃木県,トチギケン,宇都宮市,ウツノミヤシ,東町,ヒガシマチ
92,321-0905,栃木県,トチギケン,宇都宮市,ウツノミヤシ,平出工業団地,ヒライデコウギョウダンチ
93,321-8555,栃木県,トチギケン,宇都宮市,ウツノミヤシ,陽東,ヨウトウ
94,326-0845,栃木県,トチギケン,足利市,アシカガシ,大前町,オオマエチョウ
95,326-8505,栃木県,トチギケン,足利市,アシカガシ,堀込町,ホリゴメチョウ
96,329-4403,栃木県,トチギケン,栃木市,トチギシ,大平町蔵井,オオヒラマチクライ
97,328-8588,栃木県,トチギケン,栃木市,トチギシ,平井町,ヒライチョウ
98,327-0006,栃木県,トチギケン,佐野市,サノシ,上台町,カミダイチョウ
99,327-0846,栃木県,トチギケン,佐野市,サノシ,若松町,ワカマツチョウ
100,322-0063,栃木県,トチギケン,鹿沼市,カヌマシ,戸張町,トハリチョウ
101,371-8601,群馬県,グンマケン,前橋市,マエバシシ,大手町,オオテマチ
102,379-2185,群馬県,グンマケン,前橋市,マエバシシ,小屋原町,コヤハラマチ
103,371-0817,群馬県,グンマケン,前橋市,マエバシシ,ぬで島町,ヌデジママチ
104,379-2136,群馬県,グンマケン,前橋市,マエバシシ,房丸町,ボウマルマチ
105,370-0811,群馬県,グンマケン,高崎市,タカサキシ,相生町,アイオイチョウ
106,370-8543,群馬県,グンマケン,高崎市,タカサキシ,栄町,サカエチョウ
107,370-3524,群馬県,グンマケン,高崎市,タカサキシ,中泉町,ナカイズミマチ
108,370-0016,群馬県,グンマケン,高崎市,タカサキシ,矢島町,ヤジママチ
109,376-0035,群馬県,グンマケン,桐生市,キリュウシ,仲町,ナカマチ
110,370-0102,群馬県,グンマケン,伊勢崎市,イセサキシ,境上渕名,サカイカミフチナ
111,359-1116,埼玉県,サイタマケン,所沢市,トコロザワシ,東町,ヒガシチョウ
112,330-8562,埼玉県,サイタマケン,さいたま市浦和区,サイタマシウラワク,高砂,タカサゴ
113,359-1115,埼玉県,サイタマケン,所沢市,トコロザワシ,御幸町,ミユキチョウ
114,357-0066,埼玉県,サイタマケン,飯能市,ハンノウシ,小岩井,コイワイ
115,349-1144,埼玉県,サイタマケン,加須市,カゾシ,阿佐間,アザマ
116,349-1158,埼玉県,サイタマケン,加須市,カゾシ,新利根,シントネ
117,367-0052,埼玉県,サイタマケン,本庄市,ホンジョウシ,銀座,ギンザ
118,355-0042,埼玉県,サイタマケン,東松山市,ヒガシマツヤマシ,今泉,イマイズミ
119,344-0031,埼玉県,サイタマケン,春日部市,カスカベシ,一ノ割,イチノワリ
120,344-8578,埼玉県,サイタマケン,春日部市,カスカベシ,南,ミナミ
121,265-0044,千葉県,チバケン,千葉市若葉区,チバシワカバク,下泉町,シモイズミチョウ
122,265-0072,千葉県,チバケン,千葉市若葉区,チバシワカバク,谷当町,ヤトウチョウ
123,261-0012,千葉県,チバケン,千葉市美浜区,チバシミハマク,磯辺,イソベ
124,261-8733,千葉県,チバケン,千葉市美浜区,チバシミハマク,真砂,マサゴ
125,288-0852,千葉県,チバケン,銚子市,チョウシシ,岡野台町,オカノダイチョウ
126,288-0874,千葉県,チバケン,銚子市,チョウシシ,豊里台,トヨサトダイ
127,273-0039,千葉県,チバケン,船橋市,フナバシシ,印内,インナイ
128,294-0306,千葉県,チバケン,館山市,タテヤマシ,加賀名,カガナ
129,292-0815,千葉県,チバケン,木更津市,キサラヅシ,大久保,オオクボ
130,271-0071,千葉県,チバケン,松戸市,マツドシ,竹ケ花西町,タケガハナニシマチ
131,102-8410,東京都,トウキョウト,千代田区,チヨダク,一番町,イチバンチョウ
